angular_err_mean,angular_err_median,angular_err_p90,angular_err_p95,best_epoch,experiment,feat,hit@10deg,hit@5deg,input_dim,method,n_samples,seed,test_loss,train_loss_final,transform,val_loss_best
58.252628447968206,47.012530819298405,132.38727281208497,147.1386146663256,,obs_total 5D log,obs_total,0.12312312312312312,0.05305305305305305,5,knn_weighted,1998,-1,,,log,
54.054209546033725,41.53651037813213,116.8372751744809,141.6793945563153,198,obs_total 5D log,obs_total,0.1041041041041041,0.044044044044044044,5,mlp,1998,0,0.2754198384505731,0.1848135709127355,log,0.2967762453215463
54.4137983322577,41.921806795077174,117.05435254411395,140.13263852272604,217,obs_total 5D log,obs_total,0.10710710710710711,0.043043043043043044,5,mlp,1998,1,0.27445946618899686,0.17707291346036733,log,0.2993405725274767
56.0998490998418,45.40761341819126,118.32187894303433,141.50797339277682,196,obs_total 5D log,obs_total,0.10260260260260261,0.03953953953953954,5,mlp,1998,2,0.27576167410140756,0.18382652368575175,log,0.30250269940921237
54.693499670529036,42.78720075642582,116.6337917722744,140.41378512303484,193,obs_total 5D log,obs_total,0.10810810810810811,0.046546546546546545,5,mlp,1998,3,0.2788337351711424,0.18345867452041295,log,0.3068756069455828
55.22892924821448,44.573004907255495,116.26408345866047,137.3806806471902,195,obs_total 5D log,obs_total,0.0960960960960961,0.04354354354354354,5,mlp,1998,4,0.2803693578407929,0.18101968376716965,log,0.3023262654032026
41.79519223888391,27.079826082006356,103.44773014655793,130.6506397711229,,total 15D log,total,0.2067067067067067,0.08058058058058058,15,knn_weighted,1998,-1,,,log,
39.62179692827567,25.975812430306117,96.26907465593325,128.0398791091267,180,total 15D log,total,0.1806806806806807,0.06806806806806807,15,mlp,1998,0,0.20786784316326404,0.06353856347911523,log,0.24944491386413575
37.69841151975903,23.89819974643519,92.97348862844571,121.32621555191218,196,total 15D log,total,0.2017017017017017,0.06956956956956957,15,mlp,1998,1,0.1966361119313999,0.05593184246739528,log,0.2557507012571607
41.17790379529203,28.37462547740714,97.10969713971613,124.32915882753483,175,total 15D log,total,0.16816816816816818,0.07707707707707707,15,mlp,1998,2,0.21521455397059372,0.058485105792540217,log,0.27597015116895945
33.019505328731846,18.3445313767379,88.09771198688755,120.37592407242578,412,total 15D log,total,0.2922922922922923,0.12362362362362363,15,mlp,1998,3,0.17985586050871732,0.032795521481951855,log,0.24378576363836016
31.949228649533335,16.467323717533432,90.99488773290277,120.50207508231179,580,total 15D log,total,0.32982982982982983,0.14464464464464463,15,mlp,1998,4,0.17146486824040896,0.024666293042829364,log,0.2426460027694702
26.371155234839208,5.194667811196824,111.7065258819122,145.9020710601384,,per_part 30D log,per_part,0.6931931931931932,0.46646646646646645,30,knn_weighted,1998,-1,,,log,
6.045028484761908,3.614687052046265,8.230113158026775,11.779518094889756,488,per_part 30D log,per_part,0.933933933933934,0.7012012012012012,30,mlp,1998,0,0.02465849013642983,0.009373141813288785,log,0.04070182549101966
5.91256043828842,3.3667407756634717,8.309850750039299,11.599982241597791,602,per_part 30D log,per_part,0.9354354354354354,0.7292292292292293,30,mlp,1998,1,0.02522893735879773,0.007789359570250947,log,0.039802430037941254
5.6857424223563,2.9549077222618756,7.093888908301905,9.554206988721681,735,per_part 30D log,per_part,0.9564564564564565,0.7752752752752753,30,mlp,1998,2,0.022992340266122832,0.006625196320826906,log,0.03344403047646795
5.6619693962161595,2.908271448572878,6.918894329777942,9.424023413830927,879,per_part 30D log,per_part,0.9534534534534534,0.7837837837837838,30,mlp,1998,3,0.024892508539858763,0.006936688680817137,log,0.040541745935167586
6.239195254102502,3.3900748823061644,8.124982028299511,11.013728996331908,810,per_part 30D log,per_part,0.934934934934935,0.7002002002002002,30,mlp,1998,4,0.02771102098116019,0.007425248005045296,log,0.03666734211146831
21.945005126781027,5.743568233723458,86.59408339866332,129.26091112201752,,all 45D log,all,0.6906906906906907,0.4364364364364364,45,knn_weighted,1998,-1,,,log,
7.770585778205757,3.927432232775278,9.68953325568763,15.71349017653508,424,all 45D log,all,0.9064064064064065,0.6341341341341341,45,mlp,1998,0,0.03422828371430541,0.008333539108863202,log,0.052405559378010884
6.126196610147056,2.890109746701544,7.557053616697743,11.553227974210003,829,all 45D log,all,0.9374374374374375,0.7577577577577578,45,mlp,1998,1,0.02741815046676704,0.0070270703986392985,log,0.03845846354961395
7.826996876303135,4.0419904041400905,10.242153130229537,15.541361369571058,447,all 45D log,all,0.8928928928928929,0.6131131131131131,45,mlp,1998,2,0.03509887590914875,0.008570424156994633,log,0.05129921351160322
6.15572930374202,2.854550736478429,7.216772641626956,10.62943577744528,1035,all 45D log,all,0.9469469469469469,0.7732732732732732,45,mlp,1998,3,0.02859489440925427,0.007519172803957022,log,0.04384506195783615
6.77306240514911,3.5410175754548634,8.643653230621739,11.762998361877917,937,all 45D log,all,0.928928928928929,0.6761761761761762,45,mlp,1998,4,0.029856813256745343,0.006013600963794793,log,0.03914461391312735
21.836153943289613,5.1937907053693095,90.80781858337237,143.15210847912738,,all 45D raw,all,0.7382382382382382,0.4794794794794795,45,knn_weighted,1998,-1,,,raw,
3.9771916526317495,1.9878344288661736,4.652446000506961,6.201452118343007,1063,all 45D raw,all,0.968968968968969,0.9169169169169169,45,mlp,1998,0,0.014469446507641473,0.00560093480104425,raw,0.028205454562391555
3.7724080947193843,2.002716895878657,4.9923227040436196,7.006204578534844,1139,all 45D raw,all,0.970970970970971,0.9009009009009009,45,mlp,1998,1,0.014564888968083027,0.008232668870944218,raw,0.026952132689101356
3.834987291823051,2.0902193972345025,4.731819984684883,6.225560327701781,955,all 45D raw,all,0.975975975975976,0.9124124124124124,45,mlp,1998,2,0.012403300107532256,0.005873311579816348,raw,0.02713448831013271
3.2510812377644385,1.7878603588045134,4.035545763873793,5.187199234290474,1224,all 45D raw,all,0.9784784784784785,0.9394394394394394,45,mlp,1998,3,0.010189802997658873,0.0051219800311813985,raw,0.024655757205826894
5.088851417562833,2.3029158953643334,5.711914358013398,7.990663284560772,603,all 45D raw,all,0.9614614614614615,0.8643643643643644,45,mlp,1998,4,0.019774505996273027,0.006603560669324485,raw,0.03776830817971911
